X,CH1,CH2,
Second,Volt,Volt,
1.1724700e-01,-4.60000e-03,-1.60000e-03,
1.1724800e-01,-4.00000e-03,-1.60000e-03,
1.1724900e-01,-3.20000e-03,-1.40000e-03,
1.1725000e-01,-2.60000e-03,-1.20000e-03,
1.1725100e-01,-1.80000e-03,-1.20000e-03,
1.1725200e-01,-1.20000e-03,-1.00000e-03,
1.1725300e-01,-4.00000e-04,-8.00000e-04,
1.1725400e-01,2.00000e-04,-8.00000e-04,
1.1725500e-01,1.00000e-03,-6.00000e-04,
1.1725600e-01,1.60000e-03,-6.00000e-04,
1.1725700e-01,1.40000e-03,-2.00000e-04,
1.1725800e-01,1.20000e-03,2.00000e-04,
1.1725900e-01,1.00000e-03,4.00000e-04,
1.1726000e-01,6.00000e-04,8.00000e-04,
1.1726100e-01,4.00000e-04,1.00000e-03,
1.1726200e-01,2.00000e-04,1.40000e-03,
1.1726300e-01,-2.00000e-04,1.80000e-03,
1.1726400e-01,-4.00000e-04,2.00000e-03,
1.1726500e-01,-6.00000e-04,2.40000e-03,
1.1726600e-01,-1.00000e-03,2.60000e-03,
1.1726700e-01,-1.20000e-03,3.00000e-03,
1.1726800e-01,-1.60000e-03,3.20000e-03,
1.1726900e-01,-1.80000e-03,2.40000e-03,
1.1727000e-01,-2.20000e-03,1.60000e-03,
1.1727100e-01,-2.40000e-03,8.00000e-04,
1.1727200e-01,-2.80000e-03,0.00000e+00,
1.1727300e-01,-3.20000e-03,-8.00000e-04,
1.1727400e-01,-3.40000e-03,-1.60000e-03,
1.1727500e-01,-3.80000e-03,-2.40000e-03,
1.1727600e-01,-4.20000e-03,-3.20000e-03,
1.1727700e-01,-4.40000e-03,-4.00000e-03,
1.1727800e-01,-4.80000e-03,-4.80000e-03,
1.1727900e-01,-5.20000e-03,-5.80000e-03,
1.1728000e-01,-4.20000e-03,-4.80000e-03,
1.1728100e-01,-3.40000e-03,-3.80000e-03,
1.1728200e-01,-2.40000e-03,-2.80000e-03,
1.1728300e-01,-1.60000e-03,-2.00000e-03,
1.1728400e-01,-6.00000e-04,-1.00000e-03,
1.1728500e-01,2.00000e-04,0.00000e+00,
1.1728600e-01,1.20000e-03,1.00000e-03,
1.1728700e-01,2.00000e-03,1.80000e-03,
1.1728800e-01,3.00000e-03,2.80000e-03,
1.1728900e-01,3.80000e-03,3.80000e-03,
1.1729000e-01,4.80000e-03,4.80000e-03,
1.1729100e-01,5.60000e-03,5.60000e-03,
1.1729200e-01,4.40000e-03,4.60000e-03,
1.1729300e-01,3.20000e-03,3.60000e-03,
1.1729400e-01,2.00000e-03,2.40000e-03,
1.1729500e-01,6.00000e-04,1.40000e-03,
1.1729600e-01,-6.00000e-04,2.00000e-04,
1.1729700e-01,-1.80000e-03,-8.00000e-04,
1.1729800e-01,-3.00000e-03,-2.00000e-03,
1.1729900e-01,-4.40000e-03,-3.00000e-03,
1.1730000e-01,-5.60000e-03,-4.20000e-03,
1.1730100e-01,-6.80000e-03,-5.20000e-03,
1.1730200e-01,-8.20000e-03,-6.40000e-03,
1.1730300e-01,-6.80000e-03,-5.40000e-03,
1.1730400e-01,-5.60000e-03,-4.40000e-03,
1.1730500e-01,-4.40000e-03,-3.60000e-03,
1.1730600e-01,-3.00000e-03,-2.60000e-03,
1.1730700e-01,-1.80000e-03,-1.80000e-03,
1.1730800e-01,-6.00000e-04,-8.00000e-04,
1.1730900e-01,8.00000e-04,2.00000e-04,
1.1731000e-01,2.00000e-03,1.00000e-03,
1.1731100e-01,3.20000e-03,2.00000e-03,
1.1731200e-01,4.60000e-03,2.80000e-03,
1.1731300e-01,5.80000e-03,3.80000e-03,
1.1731400e-01,7.00000e-03,4.60000e-03,
1.1731500e-01,6.00000e-03,4.00000e-03,
1.1731600e-01,5.00000e-03,3.40000e-03,
1.1731700e-01,4.00000e-03,2.80000e-03,
1.1731800e-01,2.80000e-03,2.00000e-03,
1.1731900e-01,1.80000e-03,1.40000e-03,
1.1732000e-01,8.00000e-04,8.00000e-04,
1.1732100e-01,-2.00000e-04,2.00000e-04,
1.1732200e-01,-1.40000e-03,-6.00000e-04,
1.1732300e-01,-2.40000e-03,-1.20000e-03,
1.1732400e-01,-3.40000e-03,-1.80000e-03,
1.1732500e-01,-4.60000e-03,-2.60000e-03,
1.1732600e-01,-3.80000e-03,-2.20000e-03,
1.1732700e-01,-3.00000e-03,-2.00000e-03,
1.1732800e-01,-2.20000e-03,-1.80000e-03,
1.1732900e-01,-1.40000e-03,-1.60000e-03,
1.1733000e-01,-6.00000e-04,-1.20000e-03,
1.1733100e-01,0.00000e+00,-1.00000e-03,
1.1733200e-01,8.00000e-04,-8.00000e-04,
1.1733300e-01,1.60000e-03,-6.00000e-04,
1.1733400e-01,2.40000e-03,-2.00000e-04,
1.1733500e-01,3.20000e-03,0.00000e+00,
1.1733600e-01,4.00000e-03,2.00000e-04,
1.1733700e-01,4.60000e-03,4.00000e-04,
1.1733800e-01,4.20000e-03,6.00000e-04,
1.1733900e-01,3.60000e-03,6.00000e-04,
1.1734000e-01,3.00000e-03,6.00000e-04,
1.1734100e-01,2.40000e-03,6.00000e-04,
1.1734200e-01,1.80000e-03,6.00000e-04,
1.1734300e-01,1.40000e-03,8.00000e-04,
1.1734400e-01,8.00000e-04,8.00000e-04,
1.1734500e-01,2.00000e-04,8.00000e-04,
1.1734600e-01,-4.00000e-04,8.00000e-04,
1.1734700e-01,-1.00000e-03,8.00000e-04,
1.1734800e-01,-1.60000e-03,8.00000e-04,
1.1734900e-01,-1.00000e-03,1.00000e-03,
1.1735000e-01,-6.00000e-04,1.00000e-03,
1.1735100e-01,0.00000e+00,1.00000e-03,
1.1735200e-01,4.00000e-04,1.00000e-03,
1.1735300e-01,1.00000e-03,1.00000e-03,
1.1735400e-01,1.40000e-03,1.00000e-03,
1.1735500e-01,1.80000e-03,1.20000e-03,
1.1735600e-01,2.40000e-03,1.20000e-03,
1.1735700e-01,2.80000e-03,1.20000e-03,
1.1735800e-01,3.40000e-03,1.20000e-03,
1.1735900e-01,3.80000e-03,1.20000e-03,
1.1736000e-01,4.20000e-03,1.20000e-03,
1.1736100e-01,3.60000e-03,1.00000e-03,
1.1736200e-01,2.80000e-03,6.00000e-04,
1.1736300e-01,2.00000e-03,4.00000e-04,
1.1736400e-01,1.20000e-03,0.00000e+00,
1.1736500e-01,4.00000e-04,-2.00000e-04,
1.1736600e-01,-4.00000e-04,-6.00000e-04,
1.1736700e-01,-1.20000e-03,-8.00000e-04,
1.1736800e-01,-2.00000e-03,-1.20000e-03,
1.1736900e-01,-2.80000e-03,-1.40000e-03,
1.1737000e-01,-3.60000e-03,-1.80000e-03,
1.1737100e-01,-4.40000e-03,-2.20000e-03,
1.1737200e-01,-3.60000e-03,-1.80000e-03,
1.1737300e-01,-3.00000e-03,-1.60000e-03,
1.1737400e-01,-2.40000e-03,-1.40000e-03,
1.1737500e-01,-1.80000e-03,-1.20000e-03,
1.1737600e-01,-1.00000e-03,-8.00000e-04,
1.1737700e-01,-4.00000e-04,-6.00000e-04,
1.1737800e-01,2.00000e-04,-4.00000e-04,
1.1737900e-01,8.00000e-04,-2.00000e-04,
1.1738000e-01,1.60000e-03,2.00000e-04,
1.1738100e-01,2.20000e-03,4.00000e-04,
1.1738200e-01,2.80000e-03,6.00000e-04,
1.1738300e-01,3.40000e-03,8.00000e-04,
1.1738400e-01,2.80000e-03,8.00000e-04,
1.1738500e-01,2.20000e-03,8.00000e-04,
1.1738600e-01,1.60000e-03,8.00000e-04,
1.1738700e-01,1.00000e-03,6.00000e-04,
1.1738800e-01,4.00000e-04,6.00000e-04,
1.1738900e-01,-4.00000e-04,6.00000e-04,
1.1739000e-01,-1.00000e-03,6.00000e-04,
1.1739100e-01,-1.60000e-03,4.00000e-04,
1.1739200e-01,-2.20000e-03,4.00000e-04,
1.1739300e-01,-2.80000e-03,4.00000e-04,
1.1739400e-01,-3.60000e-03,2.00000e-04,
